DATE,DESCRIPTION,TRANSACTION_NO,WITHDRAWAL_AMOUNT,DEPOSIT_AMOUNT,CLOSING_BALANCE
03/04/25,,BRANCH,295.0,,52558.1
04/04/25,,ATM,,1.0,52559.1
04/04/25,,FORT,,3900000.0,3952559.1
07/04/25,,,26272.0,,3926287.1
09/04/25,,87984,990000.0,,2936287.1
09/04/25,,87983,990000.0,,1946287.1
14/04/25,,BRANCH,590.0,,1945697.1
23/04/25,,BRANCH,590.0,,1945107.1
30/04/25,,160851 :,,100000.0,2045107.1
03/05/25,,BRANCH 87982,1980000.0,,65107.1
07/05/25,,,26272.0,,38835.1
12/05/25,,,354.0,,38481.1
05/06/25,,87988,34752.0,,3729.1
12/06/25,,,118.0,,3611.1
17/06/25,,BRANCH,118.0,,3493.1
30/06/25,,ACH Debit,,5200.0,8693.1
08/07/25,,BRANCH,118.0,,8575.1
09/07/25,,,,30000.0,38575.1
10/07/25,,,26272.0,,12303.1
06/08/25,,,,30000.0,42303.1
07/08/25,,,26272.0,,16031.1
13/08/25,,FORT,,15000000.0,15016031.1
14/08/25,,: VALAD 87991,6850000.0,,8166031.1
19/08/25,,(MU 87990,6142511.0,,2023520.1
19/08/25,,(MU 87989,1902572.0,,120948.1
07/09/25,,,26272.0,,94676.1
15/09/25,,FORT,,135000.0,229676.1
15/09/25,,87992 :,132917.41,,96758.69
16/09/25,,,,132900.0,229658.69
16/09/25,,87993,132900.0,,96758.69
30/09/25,,HDFC BANK,,4317.0,101075.69
07/10/25,,,26272.0,,74803.69
17/10/25,,FORT,,33.0,74836.69
07/11/25,,,26272.0,,48564.69
07/12/25,,,26272.0,,22292.69
